product_id,product_name,category,subcategory,cost_price
131,Pro Top,Clothing,Women,68.12
132,Max History Book,Books,Non-Fiction,50.88
133,Essential Flip Phone,Electronics,Phones,739.34
134,Pro Microwave,Home,Appliances,395.41
135,Max Short Story Collection,Books,Fiction,13.15
136,Ultra 5G Handset,Electronics,Phones,1422.91
137,Compact Comforter,Home,Bedding,330.85
138,Classic Novel,Books,Fiction,27.16
139,deluxe short story collection,Books,Fiction,42.98
140,Deluxe Wall Art,Home,Decor,410.52
141,Ultra Bedsheet Set,Home,Bedding,486.52
142,Classic Comforter,Home,Bedding,367.11
143,Lite Ultrabook,Electronics,Laptops,1647.64
144,Pro Activity Book,Books,Children,33.34
145,Max Microwave,Home,Appliances,392.45
146,Lite Laptop,Electronics,Laptops,1513.08
147,Lite Short Story Collection,Books,Fiction,20.07
148,Pro Thriller,Books,Fiction,18.31
149,Premium Self-Help Book,Books,Non-Fiction,35.32
150,Pro Cookware Set,Home,Kitchen,199.42
151,Lite Top,Clothing,Women,46.21
152,Max Flip Phone,Electronics,Phones,1179.37
153,Premium Ultrabook,Electronics,Laptops,1456.95
154,Deluxe Comforter,Home,Bedding,234.91
155,  Compact Vacuum Cleaner   ,Home,Appliances,296.4
156,Premium Vacuum Cleaner,Home,Appliances,308.43
157,Deluxe Charger,Electronics,Accessories,1779.52
158,Classic Candle Set,Home,Decor,102.3
159,Deluxe Shirt,Clothing,Men,104.67
160,Compact Comic Bundle,Books,Comics,27.25
161,Lite Onesie,Clothing,Kids,105.46
162,Max Comic Bundle,Books,Comics,51.24
163,Smart T-Shirt,Clothing,Kids,26.17
164,Ultra Onesie,Clothing,Kids,39.56
165,Deluxe Comforter,Home,Bedding,137.67
166,Premium Charger,Electronics,Accessories,1061.35
167,Ultra History Book,Books,Non-Fiction,52.71
168,Max Pillow Set,Home,Bedding,77.31
169,Max Activity Book,Books,Children,22.4
170,max cable,Electronics,Accessories,591.61
171,Premium Office Chair,Home,Furniture,384.6
172,Compact Notebook,Electronics,Laptops,1154.94
173,Pro Textbook,Books,Academic,34.36
174,  Lite Speaker   ,Electronics,Audio,71.53
175,Classic Leggings,Clothing,Women,26.31
176,Pro Office Chair,Home,Furniture,156.12
177,Max Bedsheet Set,Home,Bedding,177.94
178,Compact Office Chair,Home,Furniture,19.37
179,Premium Dress,Clothing,Women,79.66
180,Essential Cable,Electronics,Accessories,1136.72
181,Pro 5G Handset,Electronics,Phones,124.89
182,Essential Textbook,Books,Academic,18.9
183,Compact Jacket,Clothing,Men,101.96
184,Max Vacuum Cleaner,Home,Appliances,215.22
185,Ultra Headphones,Electronics,Audio,916.02
186,Deluxe Air Fryer,Home,Appliances,354.68
187,Lite Action Camera,Electronics,Cameras,1251.24
188,Ultra T-Shirt,Clothing,Men,136.78
189,Essential Biography,Books,Non-Fiction,9.13
190,CLASSIC BOOKSHELF,Home,Furniture,139.42
191,Deluxe Earbuds,Electronics,Audio,789.75
192,Max Smartphone,Electronics,Phones,618.44
193,Deluxe Cookware Set,Home,Kitchen,99.61
194,Smart Comic Bundle,Books,Comics,48.99
195,Pro Jeans,Clothing,Men,147.38
196,Premium Power Bank,Electronics,Accessories,1233.97
197,Max Graphic Novel,Books,Comics,31.57
198,Ultra Textbook,Books,Academic,19.39
199,Essential Onesie,Clothing,Kids,105.73
200,Deluxe Self-Help Book,Books,Non-Fiction,41.5
201,Pro Scarf,Clothing,Winterwear,9.65
202,Ultra Textbook,Books,Academic,46.33
203,Essential Wall Art,Home,Decor,119.13
204,Smart Biography,Books,Non-Fiction,29.43
205,Deluxe Power Bank,Electronics,Accessories,248.92
206,Compact Flip Phone,Electronics,Phones,103.06
207,Classic Webcam,Electronics,Cameras,1606.6
208,Pro Comic Bundle,Books,Comics,49.91
209,Premium Vacuum Cleaner,Home,Appliances,241.84
210,Lite Novel,Books,Fiction,5.12
211,DELUXE VACUUM CLEANER,Home,Appliances,354.03
212,Compact History Book,Books,Non-Fiction,10.88
213,Lite Shirt,Clothing,Men,72.9
214,Pro Cookware Set,Home,Kitchen,464.05
215,Premium Power Bank,Electronics,Accessories,1722.89
216,Pro Thriller,Books,Fiction,35.43
217,Premium Picture Book,Books,Children,14.55
218,Essential Cable,Electronics,Accessories,1591.25
219,Deluxe Shorts,Clothing,Kids,145.81
220,Premium Blouse,Clothing,Women,107.4
